Geography,"Gettingpermission to gofor treatment","Getting moneyfor treatment","Distance tohealth facility","Not wanting togo alone","At least oneproblemaccessinghealth care","Number ofwomen"
Urban ,9.9,22,15.6,9.3,30.4,"3,996"
Non-urban ,24.1,39.8,41.1,24.4,53.4,"2,130"
Western Cape ,7.2,16,11.3,8.6,23.3,703
Eastern Cape ,14.2,37,34.2,19.7,49.4,730
Northern Cape ,15.8,28,23.7,10,38,127
Free State ,10.9,25.5,16.8,9.8,31.4,325
KwaZulu-Natal ,23.9,27.8,29.7,24.6,39.6,"1,191"
North West ,10.6,32.9,31.8,17.4,46.3,398
Gauteng ,10.1,26.1,16.2,6.6,34.4,"1,534"
Mpumalanga ,14.6,25.7,30.1,11.6,38.9,473
Limpopo ,22.8,37.5,33.1,18.8,48.1,646
